기준일,기준시간,지점_ID,차량방향유형,차량수량,확정_YN
20240501,06,GM00000019,1,411,Y
20240501,06,GM00000019,2,328,Y
20240501,06,GM00000020,1,1033,Y
20240501,06,GM00000020,2,1046,Y
20240501,06,GM00000021,1,189,Y
20240501,06,GM00000021,2,246,Y
20240501,06,GM00000022,1,323,Y
20240501,06,GM00000022,2,277,Y
20240501,06,GM00000023,1,617,Y
20240501,06,GM00000023,2,362,Y
20240501,06,GM00000024,1,5,Y
20240501,06,GM00000024,2,5,Y
20240501,06,GM00000025,1,2,Y
20240501,06,GM00000025,2,8,Y
20240501,06,GM00000026,1,4,Y
20240501,06,GM00000026,2,3,Y
20240501,06,GM00000027,2,1,Y
20240501,06,GM00000028,1,33,Y
20240501,06,GM00000028,2,29,Y
20240501,06,GM00000030,1,1,Y
20240501,06,GM00000030,2,2,Y
20240501,06,GM00000031,1,547,Y
20240501,06,GM00000031,2,211,Y
20240501,06,GM00000032,1,304,Y
20240501,06,GM00000032,2,188,Y
20240501,06,GM00000033,1,103,Y
20240501,06,GM00000033,2,53,Y
20240501,06,GM00000034,1,132,Y
20240501,06,GM00000035,1,721,Y
20240501,06,GM00000035,2,421,Y
20240501,06,GM00000036,1,421,Y
20240501,06,GM00000036,2,560,Y
20240501,06,GM00000037,1,13,Y
20240501,06,GM00000038,1,1002,Y
20240501,06,GM00000038,2,518,Y
20240501,06,GM00000039,1,25,Y
20240501,06,GM00000039,2,11,Y
20240501,06,GM00000040,1,1,Y
20240501,06,GM00000040,2,2,Y
20240501,06,GM00000041,1,1,Y
20240501,06,GM00000041,2,1,Y
20240501,06,GM00000043,1,74,Y
20240501,06,GM00000043,2,47,Y
20240501,06,GM00000044,1,33,Y
20240501,06,GM00000044,2,23,Y
20240501,06,GM00000045,1,180,Y
20240501,06,GM00000045,2,73,Y
20240501,07,GM00000001,1,358,Y
20240501,07,GM00000001,2,141,Y
20240501,07,GM00000002,1,727,Y
20240501,07,GM00000002,2,478,Y
20240501,07,GM00000003,1,123,Y
20240501,07,GM00000003,2,61,Y
20240501,07,GM00000004,1,49,Y
20240501,07,GM00000004,2,31,Y
20240501,07,GM00000005,1,56,Y
20240501,07,GM00000005,2,25,Y
20240501,07,GM00000006,1,26,Y
20240501,07,GM00000007,1,1552,Y
20240501,07,GM00000007,2,1132,Y
20240501,07,GM00000008,1,31,Y
20240501,07,GM00000008,2,23,Y
20240501,07,GM00000009,1,37,Y
20240501,07,GM00000010,1,796,Y
20240501,07,GM00000010,2,770,Y
20240501,07,GM00000011,1,352,Y
20240501,07,GM00000011,2,180,Y
20240501,07,GM00000012,1,869,Y
20240501,07,GM00000012,2,554,Y
20240501,07,GM00000014,1,16,Y
20240501,07,GM00000014,2,23,Y
20240501,07,GM00000015,1,969,Y
20240501,07,GM00000015,2,1264,Y
20240501,07,GM00000016,1,68,Y
20240501,07,GM00000016,2,51,Y
20240501,07,GM00000017,1,707,Y
20240501,07,GM00000017,2,339,Y
20240501,07,GM00000019,1,567,Y
20240501,07,GM00000019,2,410,Y
20240501,07,GM00000020,1,1212,Y
20240501,07,GM00000020,2,1152,Y
20240501,07,GM00000021,1,283,Y
20240501,07,GM00000021,2,283,Y
20240501,07,GM00000022,1,528,Y
20240501,07,GM00000022,2,356,Y
20240501,07,GM00000023,1,992,Y
20240501,07,GM00000023,2,530,Y
20240501,07,GM00000024,1,5,Y
20240501,07,GM00000024,2,5,Y
20240501,07,GM00000025,1,2,Y
20240501,07,GM00000025,2,6,Y
